student_email,bonus_type,points
aladdin.prince@davita.com,Additional Event,0.0
aladdin.prince@davita.com,Participation,0.0
aladdin.prince@davita.com,Thank you notes,0.0
aladdin.prince@davita.com,Video content,1.0
anna.arendelle@adobe.com,Additional Event,0.0
anna.arendelle@adobe.com,Participation,0.0
anna.arendelle@adobe.com,Thank you notes,1.0
anna.arendelle@adobe.com,Video content,1.0
anna.arendelle@davita.com,Additional Event,0.0
anna.arendelle@davita.com,Participation,0.0
anna.arendelle@davita.com,Thank you notes,1.0
anna.arendelle@davita.com,Video content,1.0
aragorn.elessar@guild.com,Additional Event,0.0
aragorn.elessar@guild.com,Participation,0.0
aragorn.elessar@guild.com,Thank you notes,1.0
aragorn.elessar@guild.com,Video content,1.0
ariel.triton@accenture.com,Additional Event,0.0
ariel.triton@accenture.com,Participation,0.0
ariel.triton@accenture.com,Thank you notes,1.0
ariel.triton@accenture.com,Video content,1.0
ariel.triton@ima.com,Additional Event,1.0
ariel.triton@ima.com,Participation,0.0
ariel.triton@ima.com,Thank you notes,1.0
ariel.triton@ima.com,Video content,0.0
aurora.rose@guild.com,Additional Event,0.0
aurora.rose@guild.com,Participation,1.0
aurora.rose@guild.com,Thank you notes,0.0
aurora.rose@guild.com,Video content,0.0
belle.french@accenture.com,Additional Event,0.0
belle.french@accenture.com,Participation,0.0
belle.french@accenture.com,Thank you notes,1.0
belle.french@accenture.com,Video content,1.0
bo.peep@adobe.com,Additional Event,0.0
bo.peep@adobe.com,Participation,0.0
bo.peep@adobe.com,Thank you notes,0.0
bo.peep@adobe.com,Video content,1.0
bo.peep@aws.com,Additional Event,0.0
bo.peep@aws.com,Participation,0.0
bo.peep@aws.com,Thank you notes,0.0
bo.peep@aws.com,Video content,0.0
buzz.lightyear@accenture.com,Additional Event,0.0
buzz.lightyear@accenture.com,Participation,0.0
buzz.lightyear@accenture.com,Thank you notes,0.0
buzz.lightyear@accenture.com,Video content,0.0
buzz.lightyear@adobe.com,Additional Event,0.0
buzz.lightyear@adobe.com,Participation,0.0
buzz.lightyear@adobe.com,Thank you notes,0.0
buzz.lightyear@adobe.com,Video content,0.0
captain.hook@aws.com,Additional Event,0.0
captain.hook@aws.com,Participation,0.0
captain.hook@aws.com,Thank you notes,0.0
captain.hook@aws.com,Video content,0.0
