Company,First,Last,email
Adobe,Frodo,Baggins,frodo.baggins@adobe.com
IMA,Goofy,Goof,goofy.goof@ima.com
Adobe,Bo,Peep,bo.peep@adobe.com
DaVita,Harry,Potter,harry.potter@davita.com
JFG,Simba,Lion,simba.lion@jfg.com
JFG,Pumbaa,Warthog,pumbaa.warthog@jfg.com
IMA,Snow,White,snow.white@ima.com
Guild,Jessie,Cowgirl,jessie.cowgirl@guild.com
Accenture,Sven,Reindeer,sven.reindeer@accenture.com
DaVita,Maui,Shapeshifter,maui.shapeshifter@davita.com
DaVita,Neville,Longbottom,neville.longbottom@davita.com
AWS,Wendy,Darling,wendy.darling@aws.com
Adobe,Kristoff,Bjorgman,kristoff.bjorgman@adobe.com
IMA,Rapunzel,Gothel,rapunzel.gothel@ima.com
DaVita,Captain,Hook,captain.hook@davita.com
Guild,Daisy,Duck,daisy.duck@guild.com
Accenture,Simone,Cat,simone.cat@accenture.com
Accenture,Cinderella,Charming,cinderella.charming@accenture.com
DaVita,Samwise,Gamgee,samwise.gamgee@davita.com
AWS,Ron,Weasley,ron.weasley@aws.com
Adobe,Buzz,Lightyear,buzz.lightyear@adobe.com
Guild,Minnie,Mouse,minnie.mouse@guild.com
DaVita,Anna,Arendelle,anna.arendelle@davita.com
DaVita,Naveen,Frog,naveen.frog@davita.com
Accenture,Smee,Sailor,smee.sailor@accenture.com
Accenture,Elsa,Arendelle,elsa.arendelle@accenture.com
AWS,Mickey,Mouse,mickey.mouse@aws.com
Accenture,Jasmine,Agrabah,jasmine.agrabah@accenture.com
JFG,Pluto,Pup,pluto.pup@jfg.com
Accenture,Ariel,Triton,ariel.triton@accenture.com
Accenture,Woody,Pride,woody.pride@accenture.com
Accenture,Belle,French,belle.french@accenture.com
Guild,Elsie,Frozen,elsie.frozen@guild.com
Guild,Olaf,Snow,olaf.snow@guild.com
DaVita,Aladdin,Prince,aladdin.prince@davita.com
AWS,Gandalf,Grey,gandalf.grey@aws.com
JFG,Tiana,Bayou,tiana.bayou@jfg.com
Adobe,Donald,Duck,donald.duck@adobe.com
Accenture,Nala,Lion,nala.lion@accenture.com
Adobe,Peter,Pan,peter.pan@adobe.com
DaVita,Timon,Meerkat,timon.meerkat@davita.com
Accenture,Rex,Dino,rex.dino@accenture.com
AWS,Tinker,Bell,tinker.bell@aws.com
Guild,Aurora,Rose,aurora.rose@guild.com
Accenture,Mufasa,King,mufasa.king@accenture.com
Accenture,Moana,Waialiki,moana.waialiki@accenture.com
Accenture,Luna,Lovegood,luna.lovegood@accenture.com
Salesforce,Legolas,Greenleaf,legolas.greenleaf@salesforce.com
Guild,Aragorn,Elessar,aragorn.elessar@guild.com
Accenture,Hermione,Granger,hermione.granger@accenture.com
IMA,Merida,DunBroch,merida.dunbroch@ima.com
Adobe,Frodo,Baggins,frodo.baggins2@adobe.com
DaVita,Goofy,Goof,goofy.goof@davita.com
AWS,Bo,Peep,bo.peep@aws.com
JFG,Harry,Potter,harry.potter@jfg.com
Accenture,Simba,Lion,simba.lion@accenture.com
DaVita,Pumbaa,Warthog,pumbaa.warthog@davita.com
Guild,Snow,White,snow.white@guild.com
Accenture,Jessie,Cowgirl,jessie.cowgirl@accenture.com
Guild,Sven,Reindeer,sven.reindeer@guild.com
Guild,Maui,Shapeshifter,maui.shapeshifter@guild.com
DaVita,Neville,Longbottom,neville.longbottom2@davita.com
Accenture,Wendy,Darling,wendy.darling@accenture.com
IMA,Kristoff,Bjorgman,kristoff.bjorgman@ima.com
Accenture,Rapunzel,Gothel,rapunzel.gothel@accenture.com
AWS,Captain,Hook,captain.hook@aws.com
Adobe,Daisy,Duck,daisy.duck@adobe.com
Guild,Simone,Cat,simone.cat@guild.com
Salesforce,Cinderella,Charming,cinderella.charming@salesforce.com
Guild,Samwise,Gamgee,samwise.gamgee@guild.com
DaVita,Ron,Weasley,ron.weasley@davita.com
Accenture,Buzz,Lightyear,buzz.lightyear@accenture.com
Adobe,Minnie,Mouse,minnie.mouse@adobe.com
Adobe,Anna,Arendelle,anna.arendelle@adobe.com
Salesforce,Naveen,Frog,naveen.frog@salesforce.com
Salesforce,Smee,Sailor,smee.sailor@salesforce.com
Salesforce,Elsa,Arendelle,elsa.arendelle@salesforce.com
Salesforce,Mickey,Mouse,mickey.mouse@salesforce.com
Salesforce,Jasmine,Agrabah,jasmine.agrabah@salesforce.com
Guild,Pluto,Pup,pluto.pup@guild.com
IMA,Ariel,Triton,ariel.triton@ima.com
